target,response,RT,delta,orientation1,orientation2,orientation3,orientation4,x1,x2,x3,x4,y1,y2,y3,y4,ecc1,ecc2,ecc3,ecc4
0,0,433,0,0.9094,0.2148,0.2669,0.2147,798,1189,1104,711,313,398,790,704,0.6877,0.9,0.9,0.9
1,1,500,1.0291,2.4347,0.5193,2.8658,1.0028,706,1084,1198,819,413,283,680,780,0.6877,0.9,0.9,0.6877
1,0,381,0.3318,2.3819,2.7867,0.2161,0.5766,1251,992,676,943,523,822,560,246,0.9,0.9,0.6877,0.9
2,1,690,1.333,2.2709,2.0989,0.5618,1.7294,1040,679,897,1238,821,612,274,459,0.6877,0.9,0.9,0.9
0,0,339,0,2.2903,0.6365,0.6795,3.0672,1126,1199,801,715,303,687,779,384,0.6877,0.9,0.6877,0.9
0,0,778,0,0.2651,3.0539,0.0988,2.6245,1202,806,716,1097,685,794,394,307,0.6877,0.6877,0.9,0.6877
0,0,551,0,2.2388,1.188,0.782,0.7944,1249,930,669,984,571,811,505,270,0.9,0.6877,0.6877,0.6877
0,1,542,0,2.9468,0.4388,1.2375,3.0805,1182,1146,737,789,364,757,704,322,0.9,0.6877,0.6877,0.6877
4,0,452,1.0924,2.9914,1.7067,0.7898,1.8176,1106,718,826,1206,792,679,293,392,0.9,0.9,0.9,0.9
4,1,495,1.6988,2.5489,0.2652,1.669,2.5152,1233,988,688,948,509,811,555,268,0.9,0.6877,0.9,0.9
1,1,808,2.0085,0.3734,1.1943,2.5536,0.7668,1136,759,761,1168,759,723,321,347,0.6877,0.9,0.9,0.9
1,1,620,1.0041,0.6739,2.136,1.7508,2.6725,1073,1219,860,684,278,639,812,437,0.9,0.9,0.6877,0.9
1,1,632,1.1002,2.1467,1.9118,0.6901,1.2764,1161,1151,765,771,347,756,743,341,0.6877,0.6877,0.9,0.9
2,0,403,0.5927,2.6015,1.5942,1.1503,0.712,1023,1246,902,694,263,593,811,477,0.6877,0.6877,0.9,0.6877
2,0,568,1.9726,2.82,0.9066,0.8452,1.8667,924,1250,1011,683,267,494,813,572,0.6877,0.6877,0.6877,0.9
0,0,526,0,1.4231,1.1956,2.9087,2.3274,1248,980,676,938,514,822,566,266,0.6877,0.9,0.6877,0.9
0,0,341,0,0.1088,1.4172,0.0433,1.4882,1043,679,868,1219,804,634,265,449,0.9,0.6877,0.9,0.6877
0,0,412,0,1.6465,0.3776,0.5586,2.2183,1213,811,718,1087,689,784,393,288,0.6877,0.6877,0.9,0.9
0,0,872,0,0.4926,1.0243,0.9867,2.8102,681,944,1239,953,535,268,534,821,0.9,0.6877,0.6877,0.6877
0,0,641,0,1.2266,2.3197,3.0676,1.644,833,1207,1093,693,290,425,802,653,0.9,0.9,0.9,0.9
2,0,436,0.2162,0.2612,1.4506,0.0955,2.3662,1230,1051,690,883,450,807,629,260,0.6877,0.9,0.6877,0.6877
1,0,391,1.5063,1.886,0.267,2.8977,0.1684,1010,1244,918,693,268,595,819,486,0.9,0.6877,0.9,0.9
0,0,396,0,1.8757,1.3528,2.2956,0.8205,794,726,1125,1194,768,377,311,701,0.9,0.6877,0.6877,0.6877
0,1,448,0,3.1339,1.6253,3.1118,0.7117,783,1193,1137,722,303,382,775,700,0.9,0.9,0.9,0.6877
4,1,315,1.0717,2.6903,2.8267,0.6844,0.2418,907,1239,998,680,271,489,810,577,0.6877,0.6877,0.6877,0.6877
0,1,619,0,1.5605,2.7179,0.2137,3.0428,804,732,1118,1183,758,367,310,707,0.6877,0.6877,0.9,0.9
3,1,533,1.5551,3.0825,2.708,0.2633,1.061,671,941,1241,989,576,267,505,827,0.6877,0.6877,0.9,0.6877
1,1,468,1.9974,2.3887,1.835,1.2659,1.6023,949,1240,969,683,261,534,811,557,0.9,0.6877,0.9,0.9
0,0,854,0,1.7879,2.749,1.0951,0.1317,728,774,1173,1126,717,313,372,758,0.9,0.9,0.9,0.6877
2,1,360,1.9082,2.6233,1.4746,1.2999,1.5794,769,768,1161,1157,749,333,347,750,0.6877,0.6877,0.9,0.6877
0,1,350,0,0.3089,2.7005,0.0868,2.8248,1121,720,786,1194,765,715,300,364,0.6877,0.9,0.9,0.9
0,0,445,0,0.2406,2.3264,1.4342,2.0994,1230,1043,701,871,458,797,626,278,0.9,0.6877,0.6877,0.9
1,1,504,2.3721,2.7141,0.6238,2.1126,2.8332,693,864,1227,1052,637,278,459,812,0.9,0.6877,0.6877,0.6877
0,0,632,0,1.8985,1.6224,0.0236,2.1643,1061,699,873,1234,818,642,261,452,0.6877,0.6877,0.6877,0.9
3,0,1507,2.3287,1.5382,0.8476,3.1094,0.577,1173,778,747,1146,713,763,367,331,0.6877,0.6877,0.6877,0.9
0,1,563,0,2.3349,2.8265,0.205,1.0553,952,686,977,1245,834,543,268,546,0.6877,0.6877,0.9,0.9
2,1,537,0.687,0.2876,2.8539,1.6021,1.9318,694,1066,1228,838,429,273,662,790,0.6877,0.9,0.6877,0.9
0,0,584,0,0.7671,1.3476,0.032,1.9127,1034,696,886,1226,803,620,277,461,0.6877,0.6877,0.9,0.9
0,0,453,0,1.5331,1.564,2.9405,1.223,763,751,1149,1166,756,342,324,720,0.9,0.6877,0.6877,0.9
0,0,463,0,2.4237,2.4027,1.3228,0.1785,1108,1196,816,707,301,676,793,384,0.6877,0.6877,0.6877,0.6877
4,1,441,1.4808,1.7826,3.0435,2.5902,3.0147,1186,1130,723,791,376,768,719,320,0.9,0.6877,0.9,0.6877
3,0,460,2.9694,2.0463,2.3364,0.9486,0.2815,1201,837,702,1090,677,783,412,293,0.9,0.6877,0.9,0.9
0,0,444,0,1.1209,0.4522,2.6723,1.0614,670,1016,1245,926,499,269,585,822,0.6877,0.6877,0.9,0.6877
4,0,542,0.1056,0.976,1.2845,2.2243,0.4513,1172,764,766,1162,742,757,344,345,0.9,0.9,0.6877,0.9
2,0,413,0.6024,0.4156,2.7347,1.8942,0.8335,1176,783,755,1146,721,753,345,323,0.9,0.9,0.9,0.9
2,0,457,0.2826,0.1915,1.3851,0.2647,1.7695,1026,1231,902,682,278,610,810,470,0.6877,0.9,0.9,0.6877
4,0,483,2.6527,0.9392,0.8046,2.7852,1.4037,1210,856,693,1080,645,800,414,293,0.9,0.9,0.6877,0.9
1,1,516,1.1856,0.9371,1.5599,2.7957,1.5752,693,1004,1246,909,502,272,599,827,0.6877,0.6877,0.9,0.6877
1,0,796,0.0211,1.0776,0.6801,2.4699,2.2717,690,1016,1233,920,483,255,594,820,0.6877,0.9,0.9,0.6877
1,0,289,2.1864,0.4069,2.7642,0.1385,2.1574,1242,986,689,932,522,828,576,252,0.9,0.6877,0.9,0.6877
0,0,426,0,0.5463,1.9655,1.8068,2.3593,736,795,1184,1132,693,300,374,776,0.6877,0.9,0.6877,0.6877
4,0,517,2.645,2.9912,3.0657,0.0971,1.5516,1186,776,733,1149,716,766,345,313,0.6877,0.9,0.6877,0.9
0,0,501,0,2.2361,2.726,0.3717,0.1226,1119,1195,789,735,307,707,774,387,0.9,0.6877,0.6877,0.6877
4,1,518,1.6275,2.791,0.7325,2.7068,2.236,1168,766,762,1146,729,733,342,341,0.9,0.6877,0.9,0.9
0,0,558,0,0.9889,2.2831,1.6203,2.4839,683,889,1219,1029,631,279,457,813,0.6877,0.9,0.9,0.9
0,0,476,0,1.9092,2.9782,0.1874,0.8442,980,683,938,1244,819,552,253,512,0.9,0.6877,0.6877,0.9
0,1,773,0,2.1085,2.0496,1.6683,2.2466,972,1234,953,670,248,551,824,541,0.9,0.6877,0.9,0.9
0,1,458,0,2.4963,2.9085,0.5618,1.6259,1165,1157,747,773,342,742,731,325,0.9,0.6877,0.6877,0.6877
0,0,436,0,2.9181,2.3,2.3557,1.2796,682,950,1231,978,566,261,530,817,0.9,0.9,0.9,0.6877
4,0,488,2.4252,1.1571,2.0597,2.9474,1.9491,688,1029,1247,899,484,253,592,829,0.6877,0.6877,0.9,0.6877
3,1,736,1.4141,1.5599,0.9707,2.9871,3.085,982,1245,928,681,254,561,813,514,0.6877,0.9,0.9,0.9
4,1,688,0.9081,2.5601,0.4414,2.7642,0.2996,741,1122,1179,781,365,303,715,765,0.9,0.9,0.6877,0.9
0,0,488,0,1.657,2.2776,1.9083,1.8484,856,1225,1086,698,278,420,804,652,0.9,0.6877,0.9,0.6877
0,0,529,0,1.7216,1.7808,2.1375,1.1667,819,703,1091,1205,784,398,282,679,0.9,0.6877,0.9,0.6877
2,0,368,0.8371,0.8191,0.0716,1.3323,1.0715,1025,1241,885,697,262,620,824,471,0.9,0.6877,0.9,0.6877
0,0,854,0,2.3322,2.9451,1.6128,0.7568,668,979,1236,941,529,257,556,819,0.9,0.6877,0.6877,0.6877
0,0,432,0,2.7531,3.1409,2.7151,0.1159,1032,1236,873,698,277,623,820,461,0.9,0.6877,0.9,0.6877
0,0,532,0,0.1094,2.3808,3.0069,1.0772,1174,1155,737,777,358,755,715,331,0.6877,0.9,0.6877,0.9
0,0,505,0,2.1883,0.2031,2.3488,1.3207,1216,847,707,1076,638,806,436,270,0.6877,0.9,0.9,0.9
0,0,433,0,1.4715,1.5815,2.8605,0.6485,722,1099,1189,813,398,293,696,772,0.6877,0.9,0.6877,0.6877
0,0,356,0,1.0131,3.0667,0.874,0.2288,1242,967,687,968,536,814,532,259,0.6877,0.9,0.9,0.6877
4,0,330,0.5254,2.494,1.4737,0.9724,2.1601,984,688,942,1241,823,559,264,515,0.9,0.9,0.6877,0.9
0,0,360,0,1.6775,1.8041,1.2969,0.0464,1231,1037,695,883,459,808,630,276,0.6877,0.6877,0.6877,0.6877
0,0,502,0,0.3444,1.3753,0.8804,3.0952,1128,1176,787,731,324,708,765,365,0.6877,0.6877,0.6877,0.9
3,1,527,0.4637,0.9984,3.0927,1.7224,2.3538,1204,807,715,1120,705,776,387,295,0.9,0.6877,0.6877,0.9
